scientificName,decimalLatitude,decimalLongitude,country,koppen_value
Copernicia prunifera (Mill.) H.E.Moore,-5.590358,-36.963028,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.261141,-37.236819,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.523298,-37.16971,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.687843,-36.370405,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.586135,-36.154277,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.714122,-36.248838,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.703235,-36.235981,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.703235,-36.235999,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-7.122472,-38.468185,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-10.04045,-38.367152,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-10.110728,-38.394188,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-6.963143,-36.850098,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.195996,-37.335876,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-7.87593,-34.837939,Brazil,2
Copernicia prunifera (Mill.) H.E.Moore,-7.874888,-34.836555,Brazil,2
Copernicia prunifera (Mill.) H.E.Moore,-5.530736,-38.269192,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.936478,-38.606304,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.538939,-36.963714,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-6.819167,-38.8425,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-9.683333,-40.833333,Brazil,4
Copernicia prunifera (Mill.) H.E.Moore,-5.196497,-37.33579,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.19427,-37.336512,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.196453,-37.33532,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.359217,-39.308463,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-2.918354,-40.140742,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.942052,-40.356074,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.682569,-38.960756,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.681912,-38.958762,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-11.003096,-42.667031,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-6.66609,-38.853852,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.679652,-38.944923,Brazil,3
